file_path,action,frame_count
./Train_Data/1_Finger_Click/Video_Test_19.mp4,1_Finger_Click,61
./Train_Data/1_Finger_Click/Video_Test_20 (2).mp4,1_Finger_Click,58
./Train_Data/1_Finger_Click/Video_Test_20 (3).mp4,1_Finger_Click,64
./Train_Data/1_Finger_Click/Video_Test_20.mp4,1_Finger_Click,61
./Train_Data/1_Finger_Click/Video_Test_21 (2).mp4,1_Finger_Click,68
./Train_Data/1_Finger_Click/Video_Test_21 (3).mp4,1_Finger_Click,75
./Train_Data/1_Finger_Click/Video_Test_21.mp4,1_Finger_Click,69
./Train_Data/1_Finger_Click/Video_Test_22 (2).mp4,1_Finger_Click,62
./Train_Data/1_Finger_Click/Video_Test_22 (3).mp4,1_Finger_Click,70
./Train_Data/1_Finger_Click/Video_Test_22.mp4,1_Finger_Click,53
./Train_Data/1_Finger_Click/Video_Test_23 (2).mp4,1_Finger_Click,59
./Train_Data/1_Finger_Click/Video_Test_23 (3).mp4,1_Finger_Click,102
./Train_Data/1_Finger_Click/Video_Test_23.mp4,1_Finger_Click,56
./Train_Data/1_Finger_Click/Video_Test_24 (2).mp4,1_Finger_Click,98
./Train_Data/1_Finger_Click/Video_Test_24 (3).mp4,1_Finger_Click,61
./Train_Data/1_Finger_Click/Video_Test_24.mp4,1_Finger_Click,100
./Train_Data/1_Finger_Click/Video_Test_25 (2).mp4,1_Finger_Click,81
./Train_Data/1_Finger_Click/Video_Test_25 (3).mp4,1_Finger_Click,78
./Train_Data/1_Finger_Click/Video_Test_25.mp4,1_Finger_Click,59
./Train_Data/1_Finger_Click/Video_Test_26 (2).mp4,1_Finger_Click,55
./Train_Data/1_Finger_Click/Video_Test_26 (3).mp4,1_Finger_Click,94
./Train_Data/1_Finger_Click/Video_Test_26.mp4,1_Finger_Click,58
./Train_Data/1_Finger_Click/Video_Test_27 (2).mp4,1_Finger_Click,62
./Train_Data/1_Finger_Click/Video_Test_27 (3).mp4,1_Finger_Click,59
./Train_Data/1_Finger_Click/Video_Test_27.mp4,1_Finger_Click,64
./Train_Data/1_Finger_Click/Video_Test_28 (2).mp4,1_Finger_Click,60
./Train_Data/1_Finger_Click/Video_Test_28.mp4,1_Finger_Click,87
./Train_Data/1_Finger_Click/Video_Test_29 (2).mp4,1_Finger_Click,66
./Train_Data/1_Finger_Click/Video_Test_29.mp4,1_Finger_Click,70
./Train_Data/1_Finger_Click/Video_Test_30 (2).mp4,1_Finger_Click,57
./Train_Data/1_Finger_Click/Video_Test_30.mp4,1_Finger_Click,57
./Train_Data/1_Finger_Click/Video_Test_31 (2).mp4,1_Finger_Click,65
./Train_Data/1_Finger_Click/Video_Test_31.mp4,1_Finger_Click,76
./Train_Data/1_Finger_Click/Video_Test_32 (2).mp4,1_Finger_Click,57
./Train_Data/1_Finger_Click/Video_Test_32.mp4,1_Finger_Click,107
./Train_Data/1_Finger_Click/Video_Test_33.mp4,1_Finger_Click,60
./Train_Data/1_Finger_Click/Video_Test_34.mp4,1_Finger_Click,58
./Train_Data/1_Finger_Click/Video_Test_4 (2).mp4,1_Finger_Click,60
./Train_Data/1_Finger_Click/Video_Test_4 (3).mp4,1_Finger_Click,85
./Train_Data/1_Finger_Click/Video_Test_4 (4).mp4,1_Finger_Click,88
./Train_Data/1_Finger_Click/Video_Test_4.mp4,1_Finger_Click,67
./Train_Data/1_Finger_Click/Video_Test_5 (2).mp4,1_Finger_Click,62
./Train_Data/1_Finger_Click/Video_Test_5 (3).mp4,1_Finger_Click,66
./Train_Data/1_Finger_Click/Video_Test_5 (4).mp4,1_Finger_Click,75
./Train_Data/1_Finger_Click/Video_Test_5.mp4,1_Finger_Click,65
./Train_Data/1_Finger_Click/Video_Test_6 (2).mp4,1_Finger_Click,79
./Train_Data/1_Finger_Click/Video_Test_6 (3).mp4,1_Finger_Click,84
./Train_Data/1_Finger_Click/Video_Test_6 (4).mp4,1_Finger_Click,71
./Train_Data/1_Finger_Click/Video_Test_6.mp4,1_Finger_Click,58
./Train_Data/1_Finger_Click/Video_Test_7 (2).mp4,1_Finger_Click,59
./Train_Data/1_Finger_Click/Video_Test_7 (3).mp4,1_Finger_Click,69
./Train_Data/1_Finger_Click/Video_Test_7 (4).mp4,1_Finger_Click,64
./Train_Data/1_Finger_Click/Video_Test_7.mp4,1_Finger_Click,77
./Train_Data/1_Finger_Click/Video_Test_8 (2).mp4,1_Finger_Click,60
./Train_Data/1_Finger_Click/Video_Test_8 (3).mp4,1_Finger_Click,78
./Train_Data/1_Finger_Click/Video_Test_8 (4).mp4,1_Finger_Click,60
./Train_Data/1_Finger_Click/Video_Test_8.mp4,1_Finger_Click,66
./Train_Data/1_Finger_Click/Video_Test_9 (2).mp4,1_Finger_Click,54
./Train_Data/1_Finger_Click/Video_Test_9 (3).mp4,1_Finger_Click,63
./Train_Data/1_Finger_Click/Video_Test_9.mp4,1_Finger_Click,114
./Train_Data/2_Fingers_Left/Video_Test_0.mp4,2_Fingers_Left,104
./Train_Data/2_Fingers_Left/Video_Test_1.mp4,2_Fingers_Left,62
./Train_Data/2_Fingers_Left/Video_Test_10 (2).mp4,2_Fingers_Left,53
./Train_Data/2_Fingers_Left/Video_Test_10 (3).mp4,2_Fingers_Left,46
./Train_Data/2_Fingers_Left/Video_Test_10.mp4,2_Fingers_Left,48
./Train_Data/2_Fingers_Left/Video_Test_11 (2).mp4,2_Fingers_Left,51
./Train_Data/2_Fingers_Left/Video_Test_11 (3).mp4,2_Fingers_Left,51
./Train_Data/2_Fingers_Left/Video_Test_11.mp4,2_Fingers_Left,50
./Train_Data/2_Fingers_Left/Video_Test_12 (2).mp4,2_Fingers_Left,60
./Train_Data/2_Fingers_Left/Video_Test_12 (3).mp4,2_Fingers_Left,52
./Train_Data/2_Fingers_Left/Video_Test_12.mp4,2_Fingers_Left,56
./Train_Data/2_Fingers_Left/Video_Test_13 (2).mp4,2_Fingers_Left,55
./Train_Data/2_Fingers_Left/Video_Test_13 (3).mp4,2_Fingers_Left,38
./Train_Data/2_Fingers_Left/Video_Test_13.mp4,2_Fingers_Left,57
./Train_Data/2_Fingers_Left/Video_Test_14 (2).mp4,2_Fingers_Left,41
./Train_Data/2_Fingers_Left/Video_Test_14 (3).mp4,2_Fingers_Left,71
./Train_Data/2_Fingers_Left/Video_Test_14.mp4,2_Fingers_Left,64
./Train_Data/2_Fingers_Left/Video_Test_15 (2).mp4,2_Fingers_Left,43
./Train_Data/2_Fingers_Left/Video_Test_15 (3).mp4,2_Fingers_Left,62
./Train_Data/2_Fingers_Left/Video_Test_15.mp4,2_Fingers_Left,42
./Train_Data/2_Fingers_Left/Video_Test_16 (2).mp4,2_Fingers_Left,43
./Train_Data/2_Fingers_Left/Video_Test_16 (3).mp4,2_Fingers_Left,66
./Train_Data/2_Fingers_Left/Video_Test_16.mp4,2_Fingers_Left,57
./Train_Data/2_Fingers_Left/Video_Test_17 (2).mp4,2_Fingers_Left,65
./Train_Data/2_Fingers_Left/Video_Test_17 (3).mp4,2_Fingers_Left,49
./Train_Data/2_Fingers_Left/Video_Test_17.mp4,2_Fingers_Left,80
./Train_Data/2_Fingers_Left/Video_Test_18 (2).mp4,2_Fingers_Left,50
./Train_Data/2_Fingers_Left/Video_Test_18 (3).mp4,2_Fingers_Left,42
./Train_Data/2_Fingers_Left/Video_Test_18.mp4,2_Fingers_Left,54
./Train_Data/2_Fingers_Left/Video_Test_19 (2).mp4,2_Fingers_Left,47
./Train_Data/2_Fingers_Left/Video_Test_19 (3).mp4,2_Fingers_Left,44
./Train_Data/2_Fingers_Left/Video_Test_19.mp4,2_Fingers_Left,45
./Train_Data/2_Fingers_Left/Video_Test_2.mp4,2_Fingers_Left,80
./Train_Data/2_Fingers_Left/Video_Test_20 (2).mp4,2_Fingers_Left,61
./Train_Data/2_Fingers_Left/Video_Test_20 (3).mp4,2_Fingers_Left,43
./Train_Data/2_Fingers_Left/Video_Test_20.mp4,2_Fingers_Left,59
./Train_Data/2_Fingers_Left/Video_Test_21 (2).mp4,2_Fingers_Left,46
./Train_Data/2_Fingers_Left/Video_Test_21 (3).mp4,2_Fingers_Left,37
./Train_Data/2_Fingers_Left/Video_Test_21.mp4,2_Fingers_Left,44
./Train_Data/2_Fingers_Left/Video_Test_22 (2).mp4,2_Fingers_Left,46
./Train_Data/2_Fingers_Left/Video_Test_22 (3).mp4,2_Fingers_Left,52
./Train_Data/2_Fingers_Left/Video_Test_22.mp4,2_Fingers_Left,43
./Train_Data/2_Fingers_Left/Video_Test_23 (2).mp4,2_Fingers_Left,51
./Train_Data/2_Fingers_Left/Video_Test_23 (3).mp4,2_Fingers_Left,43
./Train_Data/2_Fingers_Left/Video_Test_23.mp4,2_Fingers_Left,55
./Train_Data/2_Fingers_Left/Video_Test_24 (2).mp4,2_Fingers_Left,50
./Train_Data/2_Fingers_Left/Video_Test_24 (3).mp4,2_Fingers_Left,48
./Train_Data/2_Fingers_Left/Video_Test_24.mp4,2_Fingers_Left,53
./Train_Data/2_Fingers_Left/Video_Test_25 (2).mp4,2_Fingers_Left,49
./Train_Data/2_Fingers_Left/Video_Test_25 (3).mp4,2_Fingers_Left,41
./Train_Data/2_Fingers_Left/Video_Test_25.mp4,2_Fingers_Left,43
./Train_Data/2_Fingers_Left/Video_Test_26 (2).mp4,2_Fingers_Left,63
./Train_Data/2_Fingers_Left/Video_Test_26 (3).mp4,2_Fingers_Left,45
./Train_Data/2_Fingers_Left/Video_Test_26.mp4,2_Fingers_Left,42
./Train_Data/2_Fingers_Left/Video_Test_27 (2).mp4,2_Fingers_Left,45
./Train_Data/2_Fingers_Left/Video_Test_27.mp4,2_Fingers_Left,50
./Train_Data/2_Fingers_Left/Video_Test_28 (2).mp4,2_Fingers_Left,53
./Train_Data/2_Fingers_Left/Video_Test_28 (3).mp4,2_Fingers_Left,49
./Train_Data/2_Fingers_Left/Video_Test_28.mp4,2_Fingers_Left,54
./Train_Data/2_Fingers_Left/Video_Test_29 (2).mp4,2_Fingers_Left,49
./Train_Data/2_Fingers_Left/Video_Test_29.mp4,2_Fingers_Left,49
./Train_Data/2_Fingers_Left/Video_Test_3.mp4,2_Fingers_Left,79
./Train_Data/2_Fingers_Left/Video_Test_30 (2).mp4,2_Fingers_Left,44
./Train_Data/2_Fingers_Left/Video_Test_30.mp4,2_Fingers_Left,48
./Train_Data/2_Fingers_Left/Video_Test_31 (2).mp4,2_Fingers_Left,40
./Train_Data/2_Fingers_Left/Video_Test_31.mp4,2_Fingers_Left,48
./Train_Data/2_Fingers_Left/Video_Test_32 (2).mp4,2_Fingers_Left,55
./Train_Data/2_Fingers_Left/Video_Test_32.mp4,2_Fingers_Left,46
./Train_Data/2_Fingers_Left/Video_Test_33 (2).mp4,2_Fingers_Left,43
./Train_Data/2_Fingers_Left/Video_Test_33.mp4,2_Fingers_Left,63
./Train_Data/2_Fingers_Left/Video_Test_34 (2).mp4,2_Fingers_Left,42
./Train_Data/2_Fingers_Left/Video_Test_34.mp4,2_Fingers_Left,49
./Train_Data/2_Fingers_Left/Video_Test_35.mp4,2_Fingers_Left,99
./Train_Data/2_Fingers_Left/Video_Test_4 (2).mp4,2_Fingers_Left,63
./Train_Data/2_Fingers_Left/Video_Test_4 (3).mp4,2_Fingers_Left,49
./Train_Data/2_Fingers_Left/Video_Test_4 (4).mp4,2_Fingers_Left,44
./Train_Data/2_Fingers_Left/Video_Test_4.mp4,2_Fingers_Left,47
./Train_Data/2_Fingers_Left/Video_Test_5 (2).mp4,2_Fingers_Left,50
./Train_Data/2_Fingers_Left/Video_Test_5 (3).mp4,2_Fingers_Left,56
./Train_Data/2_Fingers_Left/Video_Test_5 (4).mp4,2_Fingers_Left,44
./Train_Data/2_Fingers_Left/Video_Test_5.mp4,2_Fingers_Left,87
./Train_Data/2_Fingers_Left/Video_Test_6 (2).mp4,2_Fingers_Left,58
./Train_Data/2_Fingers_Left/Video_Test_6 (3).mp4,2_Fingers_Left,70
./Train_Data/2_Fingers_Left/Video_Test_6 (4).mp4,2_Fingers_Left,46
./Train_Data/2_Fingers_Left/Video_Test_6.mp4,2_Fingers_Left,49
./Train_Data/2_Fingers_Left/Video_Test_7 (2).mp4,2_Fingers_Left,75
./Train_Data/2_Fingers_Left/Video_Test_7 (3).mp4,2_Fingers_Left,88
./Train_Data/2_Fingers_Left/Video_Test_7 (4).mp4,2_Fingers_Left,46
./Train_Data/2_Fingers_Left/Video_Test_7.mp4,2_Fingers_Left,71
./Train_Data/2_Fingers_Left/Video_Test_8 (2).mp4,2_Fingers_Left,44
./Train_Data/2_Fingers_Left/Video_Test_8 (3).mp4,2_Fingers_Left,44
./Train_Data/2_Fingers_Left/Video_Test_8.mp4,2_Fingers_Left,76
./Train_Data/2_Fingers_Left/Video_Test_9 (2).mp4,2_Fingers_Left,54
./Train_Data/2_Fingers_Left/Video_Test_9 (3).mp4,2_Fingers_Left,49
./Train_Data/2_Fingers_Left/Video_Test_9.mp4,2_Fingers_Left,66
./Train_Data/2_Fingers_Right/Video_Test_10 (2).mp4,2_Fingers_Right,46
./Train_Data/2_Fingers_Right/Video_Test_10 (3).mp4,2_Fingers_Right,69
./Train_Data/2_Fingers_Right/Video_Test_10 (4).mp4,2_Fingers_Right,48
./Train_Data/2_Fingers_Right/Video_Test_10 (5).mp4,2_Fingers_Right,38
./Train_Data/2_Fingers_Right/Video_Test_10.mp4,2_Fingers_Right,77
./Train_Data/2_Fingers_Right/Video_Test_11 (2).mp4,2_Fingers_Right,60
./Train_Data/2_Fingers_Right/Video_Test_11 (3).mp4,2_Fingers_Right,59
./Train_Data/2_Fingers_Right/Video_Test_11 (4).mp4,2_Fingers_Right,45
./Train_Data/2_Fingers_Right/Video_Test_11 (5).mp4,2_Fingers_Right,52
./Train_Data/2_Fingers_Right/Video_Test_11.mp4,2_Fingers_Right,47
./Train_Data/2_Fingers_Right/Video_Test_12 (2).mp4,2_Fingers_Right,52
./Train_Data/2_Fingers_Right/Video_Test_12 (3).mp4,2_Fingers_Right,57
./Train_Data/2_Fingers_Right/Video_Test_12 (4).mp4,2_Fingers_Right,56
./Train_Data/2_Fingers_Right/Video_Test_12 (5).mp4,2_Fingers_Right,39
./Train_Data/2_Fingers_Right/Video_Test_12.mp4,2_Fingers_Right,54
./Train_Data/2_Fingers_Right/Video_Test_13 (2).mp4,2_Fingers_Right,61
./Train_Data/2_Fingers_Right/Video_Test_13 (3).mp4,2_Fingers_Right,48
./Train_Data/2_Fingers_Right/Video_Test_13 (4).mp4,2_Fingers_Right,50
./Train_Data/2_Fingers_Right/Video_Test_13 (5).mp4,2_Fingers_Right,65
./Train_Data/2_Fingers_Right/Video_Test_13.mp4,2_Fingers_Right,46
./Train_Data/2_Fingers_Right/Video_Test_14 (2).mp4,2_Fingers_Right,47
./Train_Data/2_Fingers_Right/Video_Test_14 (3).mp4,2_Fingers_Right,49
./Train_Data/2_Fingers_Right/Video_Test_14 (4).mp4,2_Fingers_Right,49
./Train_Data/2_Fingers_Right/Video_Test_14 (5).mp4,2_Fingers_Right,46
./Train_Data/2_Fingers_Right/Video_Test_14.mp4,2_Fingers_Right,56
./Train_Data/2_Fingers_Right/Video_Test_15 (2).mp4,2_Fingers_Right,41
./Train_Data/2_Fingers_Right/Video_Test_15 (3).mp4,2_Fingers_Right,47
./Train_Data/2_Fingers_Right/Video_Test_15 (4).mp4,2_Fingers_Right,63
./Train_Data/2_Fingers_Right/Video_Test_15 (5).mp4,2_Fingers_Right,39
./Train_Data/2_Fingers_Right/Video_Test_15.mp4,2_Fingers_Right,49
./Train_Data/2_Fingers_Right/Video_Test_16 (2).mp4,2_Fingers_Right,43
./Train_Data/2_Fingers_Right/Video_Test_16 (3).mp4,2_Fingers_Right,44
./Train_Data/2_Fingers_Right/Video_Test_16 (4).mp4,2_Fingers_Right,55
./Train_Data/2_Fingers_Right/Video_Test_16 (5).mp4,2_Fingers_Right,48
./Train_Data/2_Fingers_Right/Video_Test_16.mp4,2_Fingers_Right,51
./Train_Data/2_Fingers_Right/Video_Test_17 (2).mp4,2_Fingers_Right,54
./Train_Data/2_Fingers_Right/Video_Test_17 (3).mp4,2_Fingers_Right,40
./Train_Data/2_Fingers_Right/Video_Test_17 (4).mp4,2_Fingers_Right,43
./Train_Data/2_Fingers_Right/Video_Test_17.mp4,2_Fingers_Right,51
./Train_Data/2_Fingers_Right/Video_Test_18 (2).mp4,2_Fingers_Right,44
./Train_Data/2_Fingers_Right/Video_Test_18 (3).mp4,2_Fingers_Right,77
./Train_Data/2_Fingers_Right/Video_Test_18.mp4,2_Fingers_Right,65
./Train_Data/2_Fingers_Right/Video_Test_19 (2).mp4,2_Fingers_Right,45
./Train_Data/2_Fingers_Right/Video_Test_19 (3).mp4,2_Fingers_Right,36
./Train_Data/2_Fingers_Right/Video_Test_19.mp4,2_Fingers_Right,54
./Train_Data/2_Fingers_Right/Video_Test_20 (2).mp4,2_Fingers_Right,41
./Train_Data/2_Fingers_Right/Video_Test_20 (3).mp4,2_Fingers_Right,38
./Train_Data/2_Fingers_Right/Video_Test_20.mp4,2_Fingers_Right,42
./Train_Data/2_Fingers_Right/Video_Test_21 (2).mp4,2_Fingers_Right,49
./Train_Data/2_Fingers_Right/Video_Test_21 (3).mp4,2_Fingers_Right,44
./Train_Data/2_Fingers_Right/Video_Test_21.mp4,2_Fingers_Right,47
./Train_Data/2_Fingers_Right/Video_Test_22.mp4,2_Fingers_Right,36
./Train_Data/2_Fingers_Right/Video_Test_23.mp4,2_Fingers_Right,33
./Train_Data/2_Fingers_Right/Video_Test_24.mp4,2_Fingers_Right,39
./Train_Data/2_Fingers_Right/Video_Test_25.mp4,2_Fingers_Right,39
./Train_Data/2_Fingers_Right/Video_Test_26.mp4,2_Fingers_Right,43
./Train_Data/2_Fingers_Right/Video_Test_27.mp4,2_Fingers_Right,41
./Train_Data/2_Fingers_Right/Video_Test_28.mp4,2_Fingers_Right,37
./Train_Data/2_Fingers_Right/Video_Test_29.mp4,2_Fingers_Right,57
./Train_Data/2_Fingers_Right/Video_Test_30.mp4,2_Fingers_Right,43
./Train_Data/2_Fingers_Right/Video_Test_31.mp4,2_Fingers_Right,46
./Train_Data/2_Fingers_Right/Video_Test_32.mp4,2_Fingers_Right,50
./Train_Data/2_Fingers_Right/Video_Test_33.mp4,2_Fingers_Right,54
./Train_Data/2_Fingers_Right/Video_Test_34.mp4,2_Fingers_Right,54
./Train_Data/2_Fingers_Right/Video_Test_36.mp4,2_Fingers_Right,32
./Train_Data/2_Fingers_Right/Video_Test_38.mp4,2_Fingers_Right,49
./Train_Data/2_Fingers_Right/Video_Test_39.mp4,2_Fingers_Right,36
./Train_Data/2_Fingers_Right/Video_Test_4 (2).mp4,2_Fingers_Right,50
./Train_Data/2_Fingers_Right/Video_Test_4 (3).mp4,2_Fingers_Right,59
./Train_Data/2_Fingers_Right/Video_Test_4 (4).mp4,2_Fingers_Right,45
./Train_Data/2_Fingers_Right/Video_Test_4 (5).mp4,2_Fingers_Right,41
./Train_Data/2_Fingers_Right/Video_Test_4.mp4,2_Fingers_Right,54
./Train_Data/2_Fingers_Right/Video_Test_40.mp4,2_Fingers_Right,42
./Train_Data/2_Fingers_Right/Video_Test_41.mp4,2_Fingers_Right,39
./Train_Data/2_Fingers_Right/Video_Test_5 (2).mp4,2_Fingers_Right,69
./Train_Data/2_Fingers_Right/Video_Test_5 (3).mp4,2_Fingers_Right,50
./Train_Data/2_Fingers_Right/Video_Test_5 (4).mp4,2_Fingers_Right,48
./Train_Data/2_Fingers_Right/Video_Test_5 (5).mp4,2_Fingers_Right,41
./Train_Data/2_Fingers_Right/Video_Test_5.mp4,2_Fingers_Right,55
./Train_Data/2_Fingers_Right/Video_Test_6 (2).mp4,2_Fingers_Right,44
./Train_Data/2_Fingers_Right/Video_Test_6 (3).mp4,2_Fingers_Right,72
./Train_Data/2_Fingers_Right/Video_Test_6 (4).mp4,2_Fingers_Right,66
./Train_Data/2_Fingers_Right/Video_Test_6 (5).mp4,2_Fingers_Right,42
./Train_Data/2_Fingers_Right/Video_Test_6.mp4,2_Fingers_Right,46
./Train_Data/2_Fingers_Right/Video_Test_7 (2).mp4,2_Fingers_Right,43
./Train_Data/2_Fingers_Right/Video_Test_7 (3).mp4,2_Fingers_Right,62
./Train_Data/2_Fingers_Right/Video_Test_7 (4).mp4,2_Fingers_Right,59
./Train_Data/2_Fingers_Right/Video_Test_7 (5).mp4,2_Fingers_Right,42
./Train_Data/2_Fingers_Right/Video_Test_7.mp4,2_Fingers_Right,65
./Train_Data/2_Fingers_Right/Video_Test_8 (2).mp4,2_Fingers_Right,52
./Train_Data/2_Fingers_Right/Video_Test_8 (3).mp4,2_Fingers_Right,57
./Train_Data/2_Fingers_Right/Video_Test_8 (4).mp4,2_Fingers_Right,50
./Train_Data/2_Fingers_Right/Video_Test_8 (5).mp4,2_Fingers_Right,83
./Train_Data/2_Fingers_Right/Video_Test_8.mp4,2_Fingers_Right,52
./Train_Data/2_Fingers_Right/Video_Test_9 (2).mp4,2_Fingers_Right,71
./Train_Data/2_Fingers_Right/Video_Test_9 (3).mp4,2_Fingers_Right,59
./Train_Data/2_Fingers_Right/Video_Test_9 (4).mp4,2_Fingers_Right,63
./Train_Data/2_Fingers_Right/Video_Test_9 (5).mp4,2_Fingers_Right,66
./Train_Data/2_Fingers_Right/Video_Test_9.mp4,2_Fingers_Right,49
./Train_Data/Shake_Hand/Video_Test_10 (2).mp4,Shake_Hand,97
./Train_Data/Shake_Hand/Video_Test_10 (3).mp4,Shake_Hand,87
./Train_Data/Shake_Hand/Video_Test_10 (4).mp4,Shake_Hand,65
./Train_Data/Shake_Hand/Video_Test_10.mp4,Shake_Hand,68
./Train_Data/Shake_Hand/Video_Test_11 (2).mp4,Shake_Hand,102
./Train_Data/Shake_Hand/Video_Test_11 (3).mp4,Shake_Hand,90
./Train_Data/Shake_Hand/Video_Test_11 (4).mp4,Shake_Hand,75
./Train_Data/Shake_Hand/Video_Test_11.mp4,Shake_Hand,88
./Train_Data/Shake_Hand/Video_Test_12 (2).mp4,Shake_Hand,100
./Train_Data/Shake_Hand/Video_Test_12 (3).mp4,Shake_Hand,73
./Train_Data/Shake_Hand/Video_Test_12 (4).mp4,Shake_Hand,71
./Train_Data/Shake_Hand/Video_Test_12.mp4,Shake_Hand,78
./Train_Data/Shake_Hand/Video_Test_13 (2).mp4,Shake_Hand,67
./Train_Data/Shake_Hand/Video_Test_13 (3).mp4,Shake_Hand,73
./Train_Data/Shake_Hand/Video_Test_13 (4).mp4,Shake_Hand,68
./Train_Data/Shake_Hand/Video_Test_13.mp4,Shake_Hand,78
./Train_Data/Shake_Hand/Video_Test_14 (2).mp4,Shake_Hand,86
./Train_Data/Shake_Hand/Video_Test_14 (3).mp4,Shake_Hand,71
./Train_Data/Shake_Hand/Video_Test_14 (4).mp4,Shake_Hand,109
./Train_Data/Shake_Hand/Video_Test_14.mp4,Shake_Hand,92
./Train_Data/Shake_Hand/Video_Test_15 (2).mp4,Shake_Hand,78
./Train_Data/Shake_Hand/Video_Test_15 (3).mp4,Shake_Hand,92
./Train_Data/Shake_Hand/Video_Test_15 (4).mp4,Shake_Hand,82
./Train_Data/Shake_Hand/Video_Test_15.mp4,Shake_Hand,76
./Train_Data/Shake_Hand/Video_Test_16 (2).mp4,Shake_Hand,101
./Train_Data/Shake_Hand/Video_Test_16 (3).mp4,Shake_Hand,83
./Train_Data/Shake_Hand/Video_Test_16 (4).mp4,Shake_Hand,84
./Train_Data/Shake_Hand/Video_Test_16.mp4,Shake_Hand,84
./Train_Data/Shake_Hand/Video_Test_17 (2).mp4,Shake_Hand,109
./Train_Data/Shake_Hand/Video_Test_17 (3).mp4,Shake_Hand,71
./Train_Data/Shake_Hand/Video_Test_17 (4).mp4,Shake_Hand,115
./Train_Data/Shake_Hand/Video_Test_17.mp4,Shake_Hand,74
./Train_Data/Shake_Hand/Video_Test_18 (2).mp4,Shake_Hand,76
./Train_Data/Shake_Hand/Video_Test_18 (3).mp4,Shake_Hand,70
./Train_Data/Shake_Hand/Video_Test_18 (4).mp4,Shake_Hand,82
./Train_Data/Shake_Hand/Video_Test_18.mp4,Shake_Hand,73
./Train_Data/Shake_Hand/Video_Test_19 (2).mp4,Shake_Hand,80
./Train_Data/Shake_Hand/Video_Test_19 (3).mp4,Shake_Hand,81
./Train_Data/Shake_Hand/Video_Test_19 (4).mp4,Shake_Hand,113
./Train_Data/Shake_Hand/Video_Test_19.mp4,Shake_Hand,91
./Train_Data/Shake_Hand/Video_Test_20 (2).mp4,Shake_Hand,79
./Train_Data/Shake_Hand/Video_Test_20 (3).mp4,Shake_Hand,76
./Train_Data/Shake_Hand/Video_Test_20 (4).mp4,Shake_Hand,67
./Train_Data/Shake_Hand/Video_Test_20.mp4,Shake_Hand,74
./Train_Data/Shake_Hand/Video_Test_21 (2).mp4,Shake_Hand,72
./Train_Data/Shake_Hand/Video_Test_21 (3).mp4,Shake_Hand,88
./Train_Data/Shake_Hand/Video_Test_21.mp4,Shake_Hand,89
